playerid,clueid,score
1,23,4000
1,38,-5000
1,33,4800
1,104,3800
4,86,3000
5,116,4200
1,135,4200
1,179,5600
6,167,1000
1,204,-2100
1,224,4500
1,239,-5800
1,265,3000
1,285,-5800
1,275,5200
1,306,2200
1,335,7000
12,349,-3000
1,416,4000
1,406,3400
15,365,-1400
1,462,8400
16,452,-2000
17,456,-1500
1,493,1400
1,543,4600
19,532,2200
1,553,2000
1,580,5200
1,585,-2200
23,619,-500
24,634,600
24,645,-1000
26,685,-2100
26,704,-600
27,696,-2000
28,732,-1000
28,755,2000
32,808,2600
32,842,-2600
33,816,-3200
35,876,-2000
36,898,-400
36,867,400
28,965,800
28,920,1000
31,953,-3500
33,1019,-1000
35,980,-500
35,999,1000
24,1080,1200
24,1057,1000
32,1072,6000
24,1093,-1000
27,1131,400
27,1120,1500
1,1208,5400
1,1183,-1700
38,1153,-200
1,1245,800
1,1248,2200
39,1225,1000
1,1300,3600
1,1304,4600
1,1315,12000
1,1390,6400
1,1380,1800
44,1336,2400
1,1406,3800
1,1437,2600
1,1447,6000
1,1484,1000
47,1498,-2000
48,1503,1000
1,1530,-2800
1,1564,3200
49,1549,-1000
1,1627,6000
1,1602,1600
52,1616,4000
1,1647,2100
1,1686,2300
53,1681,2000
1,1713,3000
1,1739,5000
56,1747,3000
57,1787,2000
57,1760,-400
60,1859,400
61,1829,1000
61,1870,-100
63,1893,-300
63,1913,-700
65,1902,-1000
66,1958,500
67,1971,-1400
67,1962,-3200
70,1992,600
1,2060,2000
1,2080,-1600
72,2098,2500
1,2150,400
1,2146,4000
74,2114,600
1,2207,5000
76,2215,5000
77,2167,1000
1,2266,-1600
1,2255,7800
79,2232,-1200
1,2343,2600
1,2298,-2000
80,2334,2000
1,2349,-1600
1,2378,3200
1,2395,2800
1,2425,1000
1,2450,4400
1,2453,4800
1,2521,7800
1,2512,7800
87,2485,1000
1,2552,1000
1,2576,5200
1,2572,4000
1,2604,-2000
1,2618,3000
1,2634,3600
1,2673,2000
1,2677,-5200
93,2686,-1000
1,2738,4000
94,2764,-10000
95,2728,3000
98,2783,600
98,2822,2200
98,2819,5
100,2835,1500
101,2874,1800
99,2860,-2000
102,2912,1800
102,2922,-1400
102,2931,-1200
105,3007,-2000
107,2972,1600
107,2987,-2000
110,3023,1000
110,3053,3000
110,3068,2800
106,3127,-2500
96,3075,4200
96,3124,-4400
107,3145,2000
107,3190,3000
110,3174,1600
105,3246,2000
98,3217,1000
98,3225,2000
98,3267,2000
98,3307,2000
1,3313,4000
1,3363,-6600
1,3367,13200
1,3413,8600
1,3383,2200
113,3403,-6200
1,3456,2000
1,3465,9800
116,3488,2000
1,3497,1600
118,3534,-7800
118,3547,2400
1,3565,3000
1,3597,-5400
1,3592,-4800
120,3637,1000
120,3651,-2200
122,3658,-1900
123,3701,2000
124,3695,-1000
124,3712,-4000
121,3746,1000
121,3781,2000
125,3772,-2000
127,3813,3000
127,3836,3000
128,3848,2800
128,3891,-200
129,3862,-3800
130,3896,2200
131,3949,4000
131,3960,5000
132,3912,1000
133,3971,6600
133,4021,8000
134,4001,-1500
133,4048,4000
133,4081,-7000
135,4071,-1000
137,4137,-3000
138,4114,-2400
138,4124,-1800
136,4194,-10000
136,4154,1000
140,4198,5000
140,4265,-200
141,4245,-2000
142,4241,-1000
140,4306,-3000
143,4295,2800
144,4319,700
144,4336,-1400
144,4378,2000
145,4368,-7500
144,4444,2800
147,4418,1000
147,4423,2500
147,4481,-5000
147,4492,-1500
150,4451,1000
151,4548,2000
151,4569,-4000
152,4539,1200
153,4605,2000
153,4613,1600
155,4598,-100
155,4648,-1000
157,4662,-1500
159,4687,-400
159,4739,400
161,4721,1000
152,4779,6000
152,4794,3000
162,4759,-1600
163,4844,1200
164,4847,-200
165,4814,300
169,4910,-1600
171,4893,100
171,4919,2000
167,4983,-2300
168,4978,2500
172,5000,-600
174,5016,-400
174,5033,1000
162,5079,2500
175,5058,1400
175,5084,2000
178,5139,-1900
178,5151,1400
178,5125,-500
162,5176,-2400
162,5206,2400
180,5197,-2200
182,5253,1000
183,5275,1300
183,5257,-1400
162,5297,-1500
162,5329,-2300
184,5317,4000
191,5398,1000
191,5369,-500
192,5390,1000
161,5445,1183
163,5439,3300
163,5427,600
193,5481,-2500
193,5493,-6000
194,5518,2000
194,5568,2500
194,5524,-500
196,5577,4500
197,5604,-2000
197,5626,3200
198,5619,-2000
198,5652,2400
198,5683,2400
200,5670,2000
198,5714,1000
198,5731,5600
202,5750,2500
198,5802,1000
198,5791,1000
204,5770,2000
198,5836,1000
198,5850,1600
205,5867,2000
165,5924,2000
166,5906,1000
191,5920,800
207,5957,1500
207,5972,4000
208,5992,-5000
209,6033,-3000
209,6008,600
209,6038,500
211,6065,2000
211,6114,2500
212,6110,2500
169,6167,3700
192,6124,500
192,6150,1000
212,6218,2000
213,6191,3800
214,6213,2500
215,6238,1000
215,6275,2000
216,6284,2000
217,6298,200
217,6332,500
218,6341,2000
219,6370,600
219,6399,-1200
220,6387,5000
221,6444,3000
222,6413,1000
222,6458,2000
218,6484,1000
