clueid,gameid,name,score
23,1,Ken,4000
38,1,Ken,-5000
33,1,Ken,4800
553,10,Ken,2000
580,10,Ken,5200
585,10,Ken,-2200
5836,100,Kerry,1000
5850,100,Kerry,1600
5867,100,Nick,2000
57888,1000,Tanya,1000
57930,1000,Jason,-500
57927,1000,Jason,-500
57960,1001,Ben,500
57974,1001,Tanya,1000
57964,1001,Tanya,200
57991,1002,Sharon,-500
58036,1002,Sharon,1000
58025,1002,Sharon,-1000
58061,1003,Ulhas,300
58081,1003,Ulhas,-1000
58096,1003,Pamela,-1200
58124,1004,Ulhas,500
58142,1004,Ulhas,700
58159,1004,Jay,4000
58173,1005,Lesley,500
58202,1005,Ulhas,1000
58207,1005,Kevin,1500
58277,1006,Cheryl,500
58273,1006,Doug,-2000
58242,1006,Cheryl,-300
58303,1007,Babu,1100
58334,1007,Mark,2500
58342,1007,Rick,2000
58374,1008,Andrew,900
58399,1008,Larry,2700
58388,1008,Larry,-2400
58448,1009,Michelle,-1500
58464,1009,Ryan,1200
58419,1009,Michelle,1000
5920,101,Doug,800
5924,101,Michael,2000
5906,101,Eugene,1000
58484,1010,Lan,700
58520,1010,Tad,-100
58511,1010,Lan,-2000
58556,1011,Catherine,2000
58574,1011,Catherine,4000
58584,1011,Catherine,4000
58617,1012,Meredith,300
58633,1012,Tad,1000
58669,1013,Dan,1000
58692,1013,Dan,1200
58684,1013,Audrey,-1000
58748,1014,Dan,1400
58755,1014,Dan,-1200
58718,1014,Marcia,1200
58790,1015,Glen,800
58804,1015,Glen,800
58824,1015,Glen,2200
58876,1016,Matt,1500
58866,1016,Tad,800
58857,1016,Tad,800
58902,1017,Roberta,1000
58930,1017,Quinn,1400
58946,1017,Quinn,-1200
59008,1018,Glen,1000
58993,1018,Ron,1800
58963,1018,Mike,100
59018,1019,Jessica,-1000
59059,1019,Jessica,-1000
59069,1019,Jessica,800
5957,102,Joshua,1500
5972,102,Joshua,4000
5992,102,Ruchi,-5000
59120,1020,Tad,-100
59114,1020,Babu,3800
59084,1020,Babu,600
59152,1021,Rick,-1300
59181,1021,Rick,1100
59170,1021,Rick,100
59223,1023,Craig,600
59237,1023,Craig,3000
59245,1023,Thomas,1900
59277,1024,Craig,-1000
59317,1024,Bill,2000
59303,1024,Matt,-2000
59334,1025,Ann,600
59354,1025,Maureen,700
59373,1025,Ann,1000
59425,1026,Ulhas,1000
59385,1026,Trevor,500
59436,1026,Ulhas,-200
59465,1027,Trevor,400
59499,1027,Bong,-2100
59510,1028,Andrew,-600
59534,1028,Andrew,600
59559,1028,Andrew,1000
59585,1029,Jayce,-100
59620,1029,Marques,500
59596,1029,Erin,-500
6033,103,Jennie,-3000
6008,103,Jennie,600
6038,103,Jennie,500
59627,1030,Sara,500
59656,1030,Susan,-1000
59682,1030,Sara,800
59714,1031,Matt,-1700
59719,1031,Tony,600
59742,1031,Brittany,1000
59749,1032,Mysti,500
59779,1032,Brett,1100
59794,1032,Thomas,1000
59852,1033,Vinita,-4500
59823,1033,Vinita,500
59839,1033,Jayce,1500
59883,1034,Brittany,500
59909,1034,Thomas,2300
59913,1034,Brittany,-2000
59942,1035,Matt,1000
59979,1035,Sara,-1000
59983,1035,Matt,-5
60005,1036,Matt,1000
60040,1036,Vinita,1600
60025,1036,Thomas,3000
60089,1038,Craig,3000
60070,1038,Craig,1000
60100,1038,Craig,2000
60140,1039,Mort,1500
60165,1039,Greg,2100
60116,1039,Mort,800
6065,104,Jonathan,2000
6114,104,Jonathan,2500
6110,104,Alex,2500
60182,1040,Craig,2000
60213,1040,Craig,2000
60221,1040,Craig,2000
60249,1041,Doug,-1000
60283,1041,Doug,2500
60274,1041,Doug,6000
60327,1042,Jeremy,1100
60299,1042,Jeremy,-300
60351,1043,Craig,1000
60386,1043,Josh,2400
60401,1043,Josh,3000
60412,1044,Pete,600
60458,1044,Stacy,1500
60438,1044,Pete,-2500
60473,1045,Mary,1500
60499,1045,Karl,2000
60508,1045,Michael,1500
60537,1046,Kristine,800
60569,1046,Kristine,1200
60562,1046,Kristine,1000
