gameid,playerid
1,1
1,2
1,3
2,1
2,4
2,5
3,1
3,6
3,7
4,1
4,8
4,9
5,1
5,10
5,11
6,1
6,12
6,13
7,1
7,14
7,15
8,1
8,16
8,17
9,1
9,18
9,19
10,1
10,20
10,21
11,22
11,23
11,24
12,25
12,26
12,27
13,28
13,29
13,30
14,31
14,32
14,33
15,34
15,35
15,36
16,26
16,28
16,31
17,27
17,33
17,35
18,24
18,25
18,32
19,24
19,27
19,31
20,24
20,27
20,31
21,1
21,37
21,38
22,1
22,39
22,40
23,1
23,41
23,42
24,1
24,43
24,44
25,1
25,45
25,46
26,1
26,47
26,48
27,1
27,49
27,50
28,1
28,51
28,52
29,1
29,53
29,54
30,1
30,55
30,56
31,57
31,58
31,59
32,60
32,61
32,62
33,63
33,64
33,65
34,66
34,67
34,68
35,69
35,70
35,71
36,1
36,72
36,73
37,1
37,74
37,75
38,1
38,76
38,77
39,1
39,78
39,79
40,1
40,80
40,81
41,1
41,82
41,83
42,1
42,84
42,85
43,1
43,86
43,87
44,1
44,88
44,89
45,1
45,90
45,91
46,1
46,92
46,93
47,1
47,94
47,95
48,96
48,97
48,98
49,100
49,101
49,99
50,102
50,103
50,104
51,105
51,106
51,107
52,108
52,109
52,110
53,106
53,96
53,99
54,107
54,110
54,97
55,103
55,105
55,98
56,106
56,110
56,98
57,106
57,110
57,98
58,1
58,111
58,112
59,1
59,113
59,114
60,1
60,115
60,116
61,1
61,117
61,118
62,1
62,119
62,120
63,120
63,121
63,122
64,121
64,123
64,124
65,121
65,125
65,126
66,126
66,127
66,128
67,128
67,129
67,130
68,130
68,131
68,132
69,131
69,133
69,134
70,133
70,135
70,136
71,136
71,137
71,138
72,136
72,139
72,140
73,140
73,141
73,142
74,140
74,143
74,144
75,144
75,145
75,146
76,144
76,147
76,148
77,147
77,149
77,150
78,150
78,151
78,152
79,153
79,154
79,155
80,155
80,156
80,157
81,159
81,160
81,161
82,152
82,158
82,162
83,163
83,164
83,165
84,169
84,170
84,171
85,166
85,167
85,168
86,172
86,173
86,174
87,162
87,175
87,179
88,176
88,177
88,178
89,162
89,180
89,181
90,174
90,182
90,183
91,162
91,184
91,185
92,190
92,191
92,192
93,161
93,163
93,190
94,185
94,193
94,194
95,194
95,195
95,196
96,195
96,197
96,198
97,198
97,199
97,200
98,198
98,201
98,202
99,198
99,203
99,204
100,198
100,205
100,206
101,165
101,166
101,191
102,198
102,207
102,208
103,207
103,209
103,210
104,207
104,211
104,212
105,159
105,169
105,192
106,212
106,213
106,214
107,213
107,215
107,216
108,213
108,217
108,218
109,218
109,219
109,220
110,218
110,221
110,222
111,218
111,223
111,224
112,161
112,166
112,169
113,223
113,225
113,226
114,225
114,227
114,228
115,161
115,166
115,169
116,229
116,230
116,231
117,228
117,232
117,233
118,228
118,234
118,235
119,236
119,237
119,238
120,239
120,240
120,241
121,242
121,243
121,244
122,245
122,246
122,247
123,248
123,249
123,250
124,251
124,252
124,253
125,251
125,252
125,253
126,254
126,255
126,256
127,257
127,258
127,259
128,260
128,261
128,262
129,263
129,264
129,265
130,246
130,257
130,263
131,1605
131,266
131,267
132,269
132,270
132,271
133,241
133,250
133,259
134,272
134,273
134,274
135,239
135,247
135,264
136,275
136,276
136,277
137,278
137,279
137,280
138,278
138,281
138,282
139,241
139,263
139,264
140,278
140,283
140,284
141,241
141,263
141,264
142,285
142,286
142,287
143,288
143,289
143,290
144,291
144,292
144,293
145,278
145,294
145,295
146,296
146,297
146,298
147,278
147,299
147,300
148,268
148,301
148,302
149,303
149,304
149,305
150,306
150,307
150,308
151,309
151,310
151,311
152,312
152,313
152,314
153,315
153,316
153,317
154,268
154,307
154,313
155,318
155,319
155,320
156,268
156,307
156,313
157,321
157,322
157,323
158,324
158,325
158,326
159,327
159,328
159,329
160,330
160,331
160,332
161,333
161,334
161,335
162,336
162,337
162,338
163,339
163,340
163,341
164,342
164,343
164,344
165,345
165,346
165,347
166,348
166,349
166,350
167,351
167,352
167,353
168,354
168,355
168,356
169,357
169,358
169,359
170,329
170,332
170,342
171,328
171,343
171,358
172,360
172,361
172,362
173,363
173,364
173,365
174,365
174,366
174,367
175,371
175,372
175,373
176,368
176,369
176,370
177,374
177,375
177,376
178,327
178,344
178,352
179,375
179,377
179,378
180,378
180,379
180,380
181,329
181,352
181,358
182,329
182,352
182,358
183,381
183,382
183,383
184,384
184,385
184,386
185,387
185,388
185,389
186,390
186,391
186,392
187,390
187,391
187,393
188,394
188,395
188,396
189,397
189,398
189,399
190,238
190,400
190,401
191,402
191,403
191,404
192,402
192,405
192,406
193,407
193,408
193,409
194,402
194,410
194,411
195,238
195,400
195,401
196,402
196,412
196,413
197,414
197,415
197,416
198,417
198,418
198,419
199,402
199,420
199,421
200,425
200,426
200,427
201,422
201,423
201,424
202,428
202,429
202,430
203,422
203,431
203,432
204,433
204,434
204,435
205,422
205,436
205,437
206,438
206,439
206,440
207,441
207,442
207,443
208,446
208,447
208,448
209,422
209,449
209,450
210,451
210,452
210,453
211,453
211,454
211,455
212,454
212,456
212,457
213,450
213,454
213,458
214,436
214,444
214,445
215,445
215,459
215,460
216,459
216,461
216,462
217,461
217,463
217,464
218,464
218,465
218,466
219,467
219,468
219,469
220,470
220,471
220,472
221,473
221,474
221,475
222,476
222,477
222,478
223,476
223,477
223,478
224,1
224,479
224,480
225,481
225,482
225,483
226,484
226,485
226,486
227,487
227,488
227,489
228,466
228,490
228,491
229,491
229,492
229,495
230,178
230,493
230,494
231,178
231,491
231,496
232,178
232,497
232,498
233,499
233,500
233,501
234,502
234,503
234,517
235,504
235,505
235,506
236,178
236,507
236,508
237,509
237,510
237,511
238,512
238,513
238,514
239,394
239,515
239,516
240,518
240,519
240,520
241,518
241,520
241,521
242,522
242,523
242,524
243,525
243,526
243,527
244,518
244,528
244,529
245,530
245,531
245,532
246,533
246,534
246,535
247,518
247,536
247,537
248,538
248,539
248,540
249,518
249,541
249,542
250,543
250,544
250,545
251,534
251,546
251,547
252,394
252,548
252,549
253,385
253,550
253,551
254,385
254,551
254,552
255,553
255,554
255,555
256,385
256,556
256,557
257,385
257,558
257,559
258,560
258,561
258,562
259,563
259,564
259,565
260,566
260,567
260,568
261,569
261,570
261,571
262,572
262,573
262,574
263,575
263,576
263,577
264,262
264,578
264,579
265,262
265,580
265,581
266,582
266,583
266,584
267,585
267,586
267,587
268,324
268,525
268,530
269,588
269,589
269,590
270,591
270,592
270,593
271,523
271,583
271,586
272,310
272,369
272,501
273,373
273,417
273,594
274,595
274,596
274,597
275,598
275,599
275,600
276,394
276,601
276,602
277,603
277,604
277,605
278,394
278,606
278,607
279,487
279,505
279,608
280,609
280,610
280,623
281,316
281,334
281,473
282,361
282,447
282,611
283,612
283,613
283,614
284,338
284,483
284,510
285,253
285,272
285,615
286,616
286,617
286,618
287,428
287,544
287,619
288,305
288,398
288,443
289,339
289,407
289,562
290,416
290,620
290,621
291,350
291,540
291,622
292,613
292,618
292,623
293,293
293,387
293,624
294,534
294,625
294,626
295,534
295,627
295,628
296,629
296,630
296,631
297,534
297,632
297,633
298,285
298,298
298,426
299,634
299,635
299,636
300,355
300,513
300,637
301,320
301,563
301,638
302,243
302,639
302,640
303,244
303,641
303,642
304,568
304,572
304,643
305,383
305,469
305,554
306,252
306,273
306,644
307,645
307,646
307,647
308,640
308,642
308,648
309,417
309,586
309,622
310,426
310,473
310,572
311,387
311,487
311,638
312,483
312,513
312,554
313,443
313,544
313,562
314,324
314,361
314,501
315,649
315,650
315,651
316,649
316,650
316,651
317,652
317,653
317,654
318,655
318,656
318,657
319,251
319,253
319,658
320,10396
320,13439
320,13441
321,361
321,426
321,638
322,361
322,426
322,638
323,443
323,513
323,622
324,443
324,513
324,622
325,629
325,659
325,660
326,629
326,659
326,660
327,629
327,662
327,663
328,361
328,622
328,661
329,361
329,622
329,661
330,361
330,622
330,661
331,664
331,665
331,666
332,615
332,667
332,668
333,644
333,669
333,670
334,235
334,671
334,672
335,252
335,673
335,674
336,675
336,676
336,677
337,235
337,678
337,679
338,680
338,681
338,682
339,681
339,683
339,684
340,684
340,685
340,686
341,686
341,687
341,688
342,689
342,690
342,691
343,251
343,668
343,669
344,687
344,692
344,693
345,687
345,694
345,695
346,679
346,696
346,697
347,698
347,699
347,700
348,700
348,701
348,702
349,703
349,704
349,705
350,697
350,706
350,707
351,277
351,708
351,709
352,701
352,710
352,711
353,701
353,712
353,713
354,714
354,715
354,716
355,700
355,715
355,717
356,715
356,718
356,719
357,706
357,720
357,721
358,722
358,723
358,724
359,718
359,725
359,726
360,725
360,727
360,728
361,727
361,729
361,730
362,727
362,731
362,732
363,727
363,733
363,734
364,735
364,736
364,737
365,738
365,739
365,740
366,706
366,741
366,742
367,738
367,743
367,744
368,745
368,746
368,747
369,748
369,749
369,750
370,706
370,751
370,752
371,400
371,401
371,753
372,400
372,754
372,755
373,756
373,757
373,758
374,756
374,759
374,760
375,761
375,762
375,763
376,401
376,764
376,765
377,752
377,766
377,767
378,766
378,768
378,769
379,769
379,770
379,771
380,772
380,773
380,774
381,770
381,775
381,776
382,770
382,777
382,778
383,236
383,754
383,779
384,765
384,780
384,781
385,782
385,783
385,784
386,237
386,785
386,786
387,777
387,787
387,788
388,777
388,789
388,790
389,238
389,755
389,764
390,789
390,791
390,792
391,793
391,794
391,795
392,796
392,797
392,798
393,799
393,800
393,801
394,792
394,802
394,803
395,254
395,804
395,805
396,806
396,807
396,808
397,803
397,809
397,810
398,811
398,812
398,813
399,814
399,815
399,816
400,817
400,818
400,819
401,810
401,820
401,821
402,801
402,822
402,823
403,801
403,824
403,825
404,801
404,828
404,829
405,810
405,826
405,827
406,811
406,816
406,818
407,824
407,830
407,831
408,826
408,832
408,833
409,801
409,834
409,835
410,826
410,836
410,837
411,836
411,838
411,839
412,840
412,841
412,842
413,256
413,843
413,844
414,838
414,845
414,846
415,796
415,805
415,840
416,846
416,847
416,848
417,798
417,804
417,842
418,847
418,849
418,850
419,256
419,840
419,842
420,256
420,840
420,842
421,847
421,851
421,852
422,852
422,853
422,854
423,390
423,855
423,856
424,853
424,857
424,858
425,390
425,859
425,860
426,858
426,861
426,862
427,863
427,864
427,865
428,861
428,866
428,867
429,830
429,868
429,869
430,868
430,870
430,871
431,861
431,872
431,873
432,865
432,874
432,875
433,861
433,876
433,877
434,756
434,878
434,879
435,870
435,880
435,881
436,870
436,882
436,883
437,870
437,884
437,885
438,886
438,887
438,888
439,861
439,889
439,890
440,756
440,891
440,892
441,870
441,893
441,894
442,861
442,895
442,896
443,888
443,897
443,898
444,861
444,899
444,900
445,888
445,901
445,902
446,903
446,904
446,905
447,861
447,906
447,907
448,861
448,908
448,909
449,910
449,911
449,912
450,913
450,914
450,915
451,916
451,917
451,918
452,861
452,919
452,920
453,861
453,921
453,922
454,923
454,924
454,925
455,861
455,926
455,927
456,923
456,928
456,929
457,861
457,930
457,931
458,923
458,932
458,933
459,861
459,934
459,935
460,936
460,937
460,938
461,939
461,940
461,941
462,942
462,943
462,944
463,945
463,946
463,947
464,948
464,949
464,950
465,951
465,952
465,953
466,954
466,955
466,956
467,835
467,955
467,957
468,958
468,959
468,960
469,961
469,962
469,963
470,964
470,965
470,966
471,967
471,968
471,969
472,970
472,971
472,972
473,973
473,974
473,975
474,969
474,976
474,977
475,976
475,978
475,979
476,980
476,981
476,982
477,981
477,983
477,984
478,985
478,986
478,987
479,983
479,988
479,989
480,990
480,991
480,992
481,993
481,994
481,995
482,996
482,997
482,998
483,993
483,996
483,999
484,1000
484,1001
484,994
485,1001
485,997
485,999
486,1002
486,1003
486,990
487,1038
487,1039
487,861
488,1004
488,1005
488,990
489,1006
489,1007
489,1008
490,1008
490,1009
490,1010
491,1011
491,1012
491,1013
492,1013
492,1017
492,1018
493,1019
493,1020
493,1021
494,1021
494,1022
494,1023
495,1024
495,1025
495,1026
496,1027
496,1028
496,1029
497,1030
497,1031
497,987
498,1032
498,1033
498,986
499,1034
499,609
499,618
500,1034
500,609
500,618
501,1014
501,1015
501,1016
502,1035
502,1036
502,1037
503,1042
503,1043
503,861
504,1036
504,1040
504,1041
505,1040
505,1044
505,1045
506,1046
506,1047
506,861
507,1048
507,1049
507,861
508,1040
508,1050
508,1051
509,1052
509,1053
509,861
510,1054
510,1055
510,1056
511,1055
511,1057
511,1058
512,1059
512,1060
512,861
513,1059
513,1061
513,1062
514,1058
514,1063
514,1064
515,1061
515,1065
515,1066
516,1063
516,1067
516,1068
517,1066
517,1069
517,1070
518,1071
518,1072
518,1073
519,1070
519,1074
519,1075
520,1072
520,1076
520,1077
521,1070
521,1078
521,1079
522,1072
522,1080
522,1081
523,1079
523,1082
523,1083
524,1084
524,1085
524,1086
525,1086
525,1087
525,1088
526,1072
526,1089
526,1090
527,1082
527,1091
527,1092
528,1089
528,1093
528,1094
529,1095
529,1096
529,1097
530,1082
530,1098
530,1099
531,1097
531,1100
531,1101
532,1099
532,1102
532,1103
533,1097
533,1104
533,1105
534,1097
534,1106
