name,final,coryat,right,wrong,uid,playerid
Ken,10001,29600,38,3,1,1
Betsey,1399,3200,4,2,1,3
J.D.,3599,5000,10,2,1,2
Ken,21800,25800,31,3,2,1
Bob,0,7400,12,4,2,5
Rich,19201,8800,13,1,2,4
Ken,27200,26400,40,5,3,1
Adam,8800,8800,9,0,3,7
Laura,200,4200,4,1,3,6
Ken,21800,33400,42,5,4,1
Amy,5200,5200,6,1,4,9
Todd,8399,9400,9,0,4,8
Ken,30000,28600,34,3,5,1
Kollin,1,2600,3,1,5,11
Bill,6000,6000,17,4,5,10
Ken,45000,32200,41,2,6,1
Dana,3999,2000,4,2,6,13
Bruce,-4800,-1800,10,5,6,12
Ken,40000,26800,39,4,7,1
Kate,3500,4800,7,3,7,15
Robert,2799,1400,6,2,7,14
Ken,37600,37000,41,2,8,1
Cara,0,3200,3,2,8,17
David,5000,6400,9,1,8,16
Ken,30000,20400,31,6,9,1
John,10601,5200,10,3,9,19
Elaine,300,5800,10,3,9,18
Ken,50000,35800,41,4,10,1
Marilyn,1800,1000,3,2,10,21
Greg,3199,2600,5,2,10,20
Arthur,16200,18200,24,1,11,24
Sam,0,2200,8,5,11,23
Keith,3500,7200,10,5,11,22
Tom,12401,13600,21,4,12,27
Seth,10600,9400,12,3,12,26
Steve,10900,6200,10,1,12,25
John,599,5600,12,5,13,30
Renzo,2000,14000,17,2,13,NA
Vinita,10200,10800,16,3,13,28
Chris,4000,5200,16,7,14,33
Tom,20100,21000,23,3,14,32
Russ,12400,6400,7,2,14,31
Sean,2600,5800,20,6,15,36
Anne,7599,11000,14,3,15,35
Jim,2400,2400,4,1,15,34
Russ,11799,12800,19,1,16,31
Seth,6800,3400,9,4,16,26
Vinita,3799,12400,14,2,16,28
Tom,14701,11800,13,2,17,27
Anne,14700,15400,16,1,17,35
Chris,2999,17200,25,3,17,33
Tom,0,11200,20,6,18,32
Arthur,31400,16400,22,1,18,24
Steve,7600,7600,10,1,18,25
Arthur,0,8200,16,5,19,24
Tom,19700,16800,20,1,19,27
Russ,9600,13200,14,4,19,31
Ken,29601,17600,26,6,21,1
Jeff,9900,15800,20,2,21,38
Beth,-800,-800,3,2,21,37
Ken,35038,28800,34,4,22,1
Pat,13500,9000,12,1,22,40
Jay,1,2200,7,2,22,39
Ken,38400,32600,41,2,23,1
Kathryn,6799,3400,4,1,23,42
Bill,2220,4600,8,1,23,41
Ken,40000,27800,36,3,24,1
Steve,7199,9000,11,2,24,44
Jennifer,3000,7000,9,0,24,43
Ken,30000,36400,42,6,25,1
Aimee,5300,5400,8,1,25,46
Al,5200,2600,4,1,25,45
Ken,35000,26000,34,3,26,1
Sunny,4400,3000,4,2,26,48
Tristan,4801,6000,13,3,26,47
Ken,35000,27200,35,5,27,1
Matt,8100,4600,9,3,27,50
Marcy,400,1400,6,3,27,49
Ken,28300,23600,34,5,28,1
Marielle,3000,11600,14,2,28,52
Larry,2400,1200,6,3,28,51
Ken,29900,22400,35,5,29,1
Graham,399,6800,8,1,29,54
K.C.,0,5800,8,1,29,53
Ken,40000,29400,36,4,30,1
Josh,4800,5200,12,4,30,56
José,100,4600,6,2,30,NA
Megan,19800,17800,23,0,31,59
Tim,0,4400,13,6,31,58
Kelly,9600,8800,12,4,31,57
Jake,3600,9600,16,3,32,62
Nithya,9000,14400,17,3,32,61
Emily,14800,15000,19,0,32,60
Josh,9000,13200,20,2,33,65
Grace,200,5200,9,3,33,64
Tamika,11000,15000,16,3,33,63
Lorna,2200,2600,9,1,34,68
Edward,17200,23200,25,2,34,67
Alex,5201,8400,10,1,34,66
Ross,12000,8400,15,2,35,71
Theodora,-2000,-1000,8,7,35,70
Patrick,3500,2000,10,5,35,69
Ken,30000,27800,33,2,36,1
Jennifer,600,5600,7,2,36,73
Nathan,11201,10200,15,1,36,72
Ken,25000,17400,25,5,37,1
Jeff,5500,10800,14,3,37,75
Mary,-2400,-1400,5,5,37,74
Ken,34001,22200,32,4,38,1
Adam,24401,17000,17,1,38,77
Merritt,0,8400,10,1,38,76
Ken,30000,21200,32,5,39,1
Lori,4200,10800,13,1,39,79
Bob,3599,1800,7,5,39,78
Ken,30000,26600,35,4,40,1
Brian,5300,7000,10,0,40,81
Sandy,5100,9600,10,1,40,80
Ken,26600,29600,36,3,41,1
Ben,1999,7600,10,1,41,83
Lisa,13100,6600,10,1,41,82
Ken,45099,31800,37,1,42,1
Denise,6001,3800,4,0,42,85
Rob,2999,6800,13,2,42,84
Ken,50000,27200,36,2,43,1
Jerry,1,9800,15,5,43,87
Jennifer,-2200,-2200,2,2,43,86
Ken,25600,36000,41,2,44,1
John,100,2200,4,0,44,89
Elizabeth,5100,4800,9,2,44,88
Ken,33201,26600,31,2,45,1
Ryan,29100,16600,21,2,45,91
Leo,1,200,4,2,45,90
Ken,19200,28400,36,4,46,1
Robert,1,1200,7,3,46,93
Jennifer,1300,1800,5,1,46,92
Ken,30000,24400,28,4,47,1
Jeff,22800,9200,12,1,47,95
Dave,6800,13400,16,1,47,94
Kermin,31542,30400,32,2,48,98
Amory,11000,8600,14,3,48,97
Casey,14000,7000,11,1,48,96
Amanda,0,5200,14,5,49,101
Jeff,7500,10800,21,4,49,100
Vicky,9400,12200,15,2,49,99
Larry,10000,5000,9,2,50,104
Kelley,13203,13200,27,4,50,103
Matt,0,5400,12,6,50,102
Lily,30000,27600,30,1,51,107
Ari,13600,6800,10,1,51,106
Lindsey,11200,8200,11,2,51,105
Rachel,22100,16800,26,3,52,110
Brad,0,5400,8,1,52,109
Chris,400,8200,16,6,52,NA
Casey,15933,12000,23,7,53,96
Ari,21601,15800,17,3,53,106
Vicky,0,7600,11,1,53,99
Lily,21201,10400,17,4,54,107
Rachel,23600,16400,25,2,54,110
Amory,21200,10600,12,2,54,97
Kermin,29241,27400,30,1,55,98
Kelley,15600,7800,14,2,55,103
Lindsey,2,8600,12,2,55,105
Kermin,13800,15800,25,3,56,98
Rachel,2000,5800,14,4,56,110
Ari,2600,8800,10,1,56,106
Ken,55099,36200,43,2,58,1
Lisa,1400,1400,4,1,58,112
Dan,1900,2600,7,1,58,111
Ken,50000,29400,38,2,59,1
Philip,200,2600,4,1,59,114
Whitney,3000,9400,11,2,59,113
Ken,31600,31600,38,3,60,1
Andrew,6007,4800,10,3,60,116
Sanda,1981,2000,9,3,60,115
Ken,29000,22600,27,1,61,1
Rob,900,14600,24,7,61,118
Kathi,0,400,1,2,61,117
Ken,8799,22400,29,4,62,1
Nancy,14401,10000,10,1,62,120
David,-2800,-2800,7,5,62,119
Nancy,2,7400,13,4,63,120
Nathan,199,7200,15,7,63,122
Katie,13400,14200,17,1,63,121
Katie,16801,16000,21,1,64,121
Sherri,1,10600,15,6,64,124
Josh,400,8000,16,4,64,123
Katie,0,3800,13,5,65,121
Pete,16200,13200,18,2,65,126
Kord,-800,-1200,13,12,65,125
Pete,100,9000,14,3,66,126
Dennis,25000,12600,19,3,66,128
Andy,21199,20200,26,4,66,127
Dennis,600,8800,10,4,67,128
Jackie,8700,8600,19,3,67,130
Shelley,8601,8200,16,6,67,129
Jackie,0,1400,8,5,68,130
Alex,12800,12600,20,3,68,132
Megan,19599,16400,19,1,68,131
Megan,0,19600,19,0,69,131
Karen,4950,4000,4,1,69,134
Tom,40600,18400,32,3,69,133
Tom,2800,16800,30,5,70,133
Robert,6399,16000,17,3,70,136
Colette,400,1400,4,3,70,135
Robert,27000,21000,29,2,71,136
Snow,3000,7600,12,4,71,138
David,3999,8400,14,4,71,137
Robert,0,19200,23,2,72,136
Joel,19000,14200,18,0,72,140
Jerry,1,6600,9,3,72,139
Joel,15200,15800,21,3,73,140
Ethan,2,8200,13,4,73,142
Maureen,600,5600,12,1,73,141
Joel,22600,14400,16,2,74,140
Grayson,29201,16600,17,3,74,144
Cliff,24600,12600,22,1,74,143
Grayson,15210,12400,20,10,75,144
Jennifer,800,7600,14,1,75,146
Harry,600,7800,13,4,75,145
Grayson,2500,15000,18,5,76,144
Michael,0,10200,12,2,76,148
Lyle,8800,13200,23,3,76,147
