id,value,clue,response,link,round,category,comment,date,game_comments,player1_name,player1_bio,player2_name,player2_bio,player3_name,player3_bio
NA,NA,NA,NA,NA,NA,NA,NA,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_2_1,200,"Amy Schumer wrote & starred in this 2015 comedy whose title is slang for ""complete mess""",Trainwreck,NA,J,THE MOVIES,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
NA,NA,NA,NA,NA,NA,NA,NA,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_4_1,200,"In 1891 the first game of this sport was played in Springfield, Massachusetts",basketball,NA,J,DECEMBER 21,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_5_1,200,"Ms. Ratched; also Catherine Barkley in ""A Farewell to Arms""",a nurse,NA,J,THE LITERARY CHARACTER'S OCCUPATION,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_6_1,200,One part of an epoch; we've gone from the Stone to the Space,an age,NA,J,ABCDEFG--THAT'S ALL YOU GET,(Alex: The correct response will contain one or a lot of those letters.),2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_1_2,400,"The name of this ocean is from the Greek for ""bear""",the Arctic Ocean,NA,J,GEOGRAPHIC ETYMOLOGY,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_2_2,400,"This Hitchcock movie has the line ""A boy's best friend is his mother""",Psycho,NA,J,THE MOVIES,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_3_2,400,"More than 4,000 corn, soybean, etc. farmers attend the trade show with the alliterative name this type of crop ""Classic""",commodity,NA,J,FARMING U.S.A.,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_4_2,400,"Containing 31 clues, the first modern one of these diversions appeared in a New York newspaper on December 21, 1913",a crossword puzzle,NA,J,DECEMBER 21,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_5_2,400,"Hannibal Lecter, before he's put away--this kind of doctor",a psychiatric doctor,NA,J,THE LITERARY CHARACTER'S OCCUPATION,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_6_2,400,One flat side of a cube,a face,NA,J,ABCDEFG--THAT'S ALL YOU GET,(Alex: The correct response will contain one or a lot of those letters.),2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_1_3,NA,"Early Spanish settlers gave this South American city a name meaning ""fair winds""",Buenos Aires,NA,J,GEOGRAPHIC ETYMOLOGY,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_2_3,600,"(I'm Ryan Reynolds.) In my 2020 movie, ""Free Guy"", I play a bank teller who comes to realize that he's really an NPC, short for this kind of character in an open-world video game",a non-player character,http://www.j-archive.com/media/2021-01-04_J_12.mp4,J,THE MOVIES,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_3_3,600,A farrow-to-finish farmer raises these animals all the way from birth to their market weight of about 285 pounds,a pig,NA,J,FARMING U.S.A.,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_4_3,600,"Dec. 21, 1914 saw the premiere of the first full-length movie comedy, ""Tillie's Punctured Romance"", featuring him",Charlie Chaplin,NA,J,DECEMBER 21,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_5_3,600,Kinsey Millhone in 25 novels,a detective,NA,J,THE LITERARY CHARACTER'S OCCUPATION,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_6_3,600,Budgie abode,cage,NA,J,ABCDEFG--THAT'S ALL YOU GET,(Alex: The correct response will contain one or a lot of those letters.),2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_1_4,800,This European capital's name comes from a barrier built across a river flowing through it,Amsterdam,NA,J,GEOGRAPHIC ETYMOLOGY,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
clue_J_2_4,800,Taron Egerton played Elton John in this 2019 musical fantasy,Rocketman,NA,J,THE MOVIES,,2021-01-04,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.",Teal Patterson,a lawyer originally from Gainesville,David Kaye,a high school English teacher from Scottsdale,Brayden Smith,a policy intern from Las Vegas
