"game","show","date"
6001,1338,1990-05-30
6002,971,1988-11-21
6003,7776,2018-06-04
6004,7779,2018-06-07
6005,7780,2018-06-08
6006,1607,1991-09-03
6007,7781,2018-06-11
6008,993,1988-12-21
6009,7782,2018-06-12
6010,994,1988-12-22
6011,952,1988-10-25
6012,950,1988-10-21
6013,7783,2018-06-13
6014,7784,2018-06-14
6015,7785,2018-06-15
6016,848,1988-04-20
6017,7786,2018-06-18
6018,855,1988-04-29
6019,7787,2018-06-19
6020,892,1988-06-21
6021,953,1988-10-26
6022,1344,1990-06-07
6023,7788,2018-06-20
6024,7789,2018-06-21
6025,7790,2018-06-22
6026,889,1988-06-16
6027,7791,2018-06-25
6028,893,1988-06-22
6029,7792,2018-06-26
6030,894,1988-06-23
6031,2302,1994-09-13
6032,2634,1996-02-01
6033,7793,2018-06-27
6034,7794,2018-06-28
6035,7795,2018-06-29
6036,7796,2018-07-02
6037,7797,2018-07-03
6038,2446,1995-04-03
6039,7798,2018-07-04
6040,7799,2018-07-05
6041,7800,2018-07-06
6042,1586,1991-06-24
6043,896,1988-06-27
6044,7801,2018-07-09
6045,1119,1989-06-15
6046,7802,2018-07-10
6047,1354,1990-06-21
6048,1355,1990-06-22
6049,7803,2018-07-11
6050,1335,1990-05-25
6051,1617,1991-09-17
6052,7804,2018-07-12
6053,7805,2018-07-13
6055,7806,2018-07-16
6057,7807,2018-07-17
6058,2246,1994-05-16
6059,1345,1990-06-08
6060,7808,2018-07-18
6062,7809,2018-07-19
6063,7810,2018-07-20
6066,7811,2018-07-23
6067,630,1987-05-08
6068,1130,1989-06-30
6069,7812,2018-07-24
6070,1696,1992-01-06
6071,895,1988-06-24
6072,827,1988-03-22
6073,461,1986-09-15
6074,766,1987-12-28
6075,7813,2018-07-25
6076,463,1986-09-17
6077,2747,1996-07-09
6078,7814,2018-07-26
6079,7815,2018-07-27
6080,749,1987-12-03
6081,747,1987-12-01
6082,2416,1995-02-20
6083,1005,1989-01-06
6084,657,1987-06-16
6086,1362,1990-07-03
6087,1363,1990-07-04
6088,1356,1990-06-25
6090,1138,1989-07-12
6091,861,1988-05-09
6092,1366,1990-07-09
6093,1826,1992-07-06
6094,2286,1994-07-11
6095,2466,1995-05-01
6096,7816,2018-09-10
6097,7817,2018-09-11
6098,7818,2018-09-12
6099,7819,2018-09-13
6100,2173,1994-02-02
6101,7820,2018-09-14
6102,7821,2018-09-17
6103,7822,2018-09-18
6104,1752,1992-03-24
6105,7823,2018-09-19
6106,7824,2018-09-20
6107,7825,2018-09-21
6108,1754,1992-03-26
6109,1756,1992-03-30
6110,7826,2018-09-24
6111,7827,2018-09-25
6112,7828,2018-09-26
6113,7829,2018-09-27
6114,7830,2018-09-28
6115,7831,2018-10-01
6116,7832,2018-10-02
6117,7833,2018-10-03
6118,7834,2018-10-04
6119,7835,2018-10-05
6120,7836,2018-10-08
6121,7837,2018-10-09
6122,7838,2018-10-10
6123,7839,2018-10-11
6124,7840,2018-10-12
6125,7841,2018-10-15
6126,7842,2018-10-16
6127,7843,2018-10-17
6128,7844,2018-10-18
6129,7845,2018-10-19
6130,7846,2018-10-22
6131,7847,2018-10-23
6132,7848,2018-10-24
6133,7849,2018-10-25
6134,7850,2018-10-26
6135,7851,2018-10-29
6136,7852,2018-10-30
6137,7853,2018-10-31
6138,7854,2018-11-01
6139,7855,2018-11-02
6140,7856,2018-11-05
6141,7857,2018-11-06
6142,7858,2018-11-07
6143,7859,2018-11-08
6144,7860,2018-11-09
6145,7861,2018-11-12
6146,7862,2018-11-13
6147,7863,2018-11-14
6148,7864,2018-11-15
6149,7865,2018-11-16
6150,7866,2018-11-19
6152,7868,2018-11-21
6153,2102,1993-10-26
6154,1648,1991-10-30
6155,7869,2018-11-22
6156,7870,2018-11-23
6157,7871,2018-11-26
6158,7872,2018-11-27
6159,7873,2018-11-28
6160,7874,2018-11-29
6161,7875,2018-11-30
6162,7876,2018-12-03
6163,7877,2018-12-04
6164,7878,2018-12-05
6165,7879,2018-12-06
6166,7880,2018-12-07
6167,7881,2018-12-10
6168,7882,2018-12-11
6169,7883,2018-12-12
6170,7884,2018-12-13
6171,7885,2018-12-14
6172,7886,2018-12-17
6173,7887,2018-12-18
6174,7888,2018-12-19
6175,7889,2018-12-20
6176,7890,2018-12-21
6177,7891,2018-12-24
6178,7892,2018-12-25
6179,7893,2018-12-26
6180,7894,2018-12-27
6181,7895,2018-12-28
6182,7896,2018-12-31
6183,7897,2019-01-01
6184,7898,2019-01-02
6185,7899,2019-01-03
6186,7900,2019-01-04
6187,7901,2019-01-07
6188,7902,2019-01-08
6189,7903,2019-01-09
6190,7904,2019-01-10
6191,7905,2019-01-11
6192,7906,2019-01-14
6193,7907,2019-01-15
6194,7908,2019-01-16
6195,7909,2019-01-17
6196,7910,2019-01-18
6197,7911,2019-01-21
6198,7912,2019-01-22
6199,7913,2019-01-23
6200,7914,2019-01-24
6201,7915,2019-01-25
6202,7916,2019-01-28
6203,7917,2019-01-29
6204,7918,2019-01-30
6205,7919,2019-01-31
6206,7920,2019-02-01
6207,2372,1994-12-20
6208,2058,1993-07-14
6209,2726,1996-06-10
6210,7921,2019-02-04
6211,7922,2019-02-05
6212,1697,1992-01-07
6213,7923,2019-02-06
6214,7924,2019-02-07
6215,7925,2019-02-08
6216,7926,2019-02-11
6217,7927,2019-02-12
6218,7928,2019-02-13
6219,7929,2019-02-14
6220,7930,2019-02-15
6221,7931,2019-02-18
6222,7932,2019-02-19
6229,7939,2019-02-28
6231,7941,2019-03-04
6233,7943,2019-03-06
6234,7944,2019-03-07
6235,7945,2019-03-08
6236,7946,2019-03-11
6237,7947,2019-03-12
6238,7948,2019-03-13
6239,7949,2019-03-14
6240,7950,2019-03-15
6241,998,1988-12-28
6242,7951,2019-03-18
6243,7952,2019-03-19
6244,1698,1992-01-08
6245,7953,2019-03-20
6246,7954,2019-03-21
6247,7955,2019-03-22
6248,7956,2019-03-25
6249,7957,2019-03-26
6250,7958,2019-03-27
6251,7959,2019-03-28
6252,7960,2019-03-29
6253,7961,2019-04-01
6254,7962,2019-04-02
6255,7963,2019-04-03
6256,7964,2019-04-04
6257,7965,2019-04-05
6258,7966,2019-04-08
6259,7967,2019-04-09
