"round","col","row","i","category","clue","answer","uid"
1,1,1,1,"The Old Testament","Let's All Flock To Read Psalm 95, In Which Humans Are Compared To These Animals","Sheep",1
1,1,2,2,"The Old Testament","Some Say The Screech Owl In The King James Bible Is Lilith, The Name Given His Legendary First Wife","Adam",1
1,1,3,3,"The Old Testament","Hagar, Carrying This Man's Baby, Fled Into The Desert After Harsh Treatment From His Wife","Abraham",1
1,1,4,6,"The Old Testament","According To This Old Testament Book, This 'Swords Into Plowshares' Prophet Walked Naked For 3 Years","Isaiah",1
1,1,5,7,"The Old Testament","In Genesis, Joseph Is Imprisoned After Accusations By The Wife Of This Egyptian","Potiphar",1
1,2,1,4,"Sean Song","The Rap On Him Is He's Sometimes 'Puffy'","Sean Combs",1
1,2,2,5,"Sean Song","Once Married To Madonna","Sean Penn",1
1,2,3,8,"Sean Song","He Won An Oscar For 'The Untouchables'","Sean Connery",1
1,2,4,9,"Sean Song","Yoko's Boy","Sean Lennon",1
1,2,5,10,"Sean Song","Android Hottie In 'Blade Runner'","Sean Young",1
1,3,1,26,"City Walk","In The 1980s This City Passed Chicago As The Usa's Second Most Populous","Los Angeles",1
1,3,2,27,"City Walk","This London Borough Is The G In Gmt, Squire","Greenwich",1
1,3,3,28,"City Walk","Thomas Alsgaard Won The 15-Kilometer Cross-Country Ski Event At The 1998 Winter Olympics In This Japanese City","Nagano",1
1,3,4,29,"City Walk","The Dalai Lama's Former Residence, The Potala Palace, Overlooks This City","Lhasa",1
1,3,5,30,"City Walk","Founded By Ram Das, This City In Punjab State Is Home To The Golden Temple, The Center Of The Sikh Faith","Amritsar",1
1,4,1,11,"Sloganeering","'Ask Any Mermaid You Happen To See, 'What's The Best Tuna?'', This Brand","Chicken Of The Sea",1
1,4,2,12,"Sloganeering","A Fast Food Chain: 'If It Doesn't Get All Over The Place, It Doesn't Belong In Your Face'","Carl's JR.",1
1,4,3,13,"Sloganeering","'Pardon Me, But Do You Have Any' Of This Fancy Mustard?","Grey Poupon",1
1,4,4,14,"Sloganeering","'Kiss A Little Longer' With This Gum","Big Red",1
1,4,5,15,"Sloganeering","The Slogan Of This Johnson & Johnson Product Was 'Have You Had Your Sprinkle Today?'","Shower To Shower",1
1,5,1,21,"Room","Many People Have Become Familiar With 'Shape', 'Ski' & 'Savoy', Which Are These, In Doctors' Waiting Rooms","Magazines",1
1,5,2,22,"Room","(Cheryl Of The Clue Crew Reports From The Briefing Room At The White HousE.) The White House Briefing Room Floor Covers A Swimming Pool That Was Installed For This Man In 1933","Franklin Delano Roosevelt",1
