"round","col","row","i","name","score","uid"
1,6,5,22,"David",-600,501
2,4,3,49,"Lyn",-400,501
2,5,4,40,"Doug",-2000,501
1,6,3,23,"John",400,502
2,2,2,36,"John",1200,502
2,4,3,50,"Gabriella",600,502
1,3,4,20,"David",1200,503
2,1,3,34,"Matthew",-5400,503
2,5,5,37,"David",3800,503
1,4,5,26,"John",500,504
2,2,3,53,"Andrew",700,504
2,1,4,41,"John",700,504
1,5,3,11,"Glenda",500,505
2,5,4,44,"Paul",-1200,505
2,6,5,59,"Paul",1000,505
1,4,5,16,"David",1000,506
2,3,3,45,"David",5600,506
2,4,4,46,"David",-3000,506
1,3,4,1,"David",1000,507
2,1,4,39,"David",5400,507
2,3,4,42,"David",2400,507
1,1,4,11,"Andrew",-500,508
2,2,2,50,"Ardwight",1000,508
1,5,2,26,"Eric",-1500,509
2,3,3,31,"David",4200,509
2,5,4,44,"David",2600,509
1,2,5,27,"Andy",600,510
2,4,3,56,"Dan",600,510
2,2,5,53,"Dan",3400,510
2,4,2,30,"Mark",1400,511
2,5,5,55,"Dan",-2700,511
1,1,3,14,"Victoria",-2200,512
2,5,2,49,"Victoria",7800,512
2,4,3,38,"Steve",2500,512
1,3,4,29,"Victoria",1500,513
2,3,2,30,"Ray",1000,513
2,1,3,56,"Ray",3000,513
1,4,3,13,"Ed",-900,514
2,1,2,44,"Anne",1000,514
2,2,3,53,"Ed",1000,514
1,5,2,17,"Carol",-1000,515
2,3,2,41,"Carol",800,515
2,5,3,52,"Carol",2600,515
1,3,4,18,"Kerry",-400,516
2,4,3,41,"Kerry",-700,516
2,2,5,58,"Kerry",-800,516
1,1,2,22,"Deborah",1500,517
2,1,2,55,"Deborah",-3600,517
2,4,3,31,"Mike",1400,517
1,2,4,29,"Liz",500,518
2,6,3,33,"Steve",1800,518
2,5,5,58,"Steve",-300,518
1,3,3,19,"Heather",-1000,519
2,1,4,52,"Andrew",-2000,519
2,3,4,45,"Deborah",2600,519
1,1,2,18,"Bette",100,520
2,3,4,50,"Liz",-1000,520
1,4,5,18,"Deborah",600,521
2,3,4,42,"Melissa",800,521
2,6,5,55,"Monica",-2000,521
