"round","i","name","score","double","uid"
1,1,"J.D.",200,FALSE,1
1,2,"Ken",400,FALSE,1
1,3,"Betsey",600,FALSE,1
1,4,"J.D.",200,FALSE,1
1,5,"Ken",400,FALSE,1
1,6,"Ken",-800,FALSE,1
1,6,"J.D.",800,FALSE,1
1,7,"Ken",1000,FALSE,1
1,8,"Ken",600,FALSE,1
1,9,"Ken",800,FALSE,1
1,10,"Ken",1000,FALSE,1
1,11,"Ken",200,FALSE,1
1,12,"Ken",400,FALSE,1
1,13,"J.D.",600,FALSE,1
1,14,"Ken",800,FALSE,1
1,15,"Betsey",1000,FALSE,1
1,16,"Ken",200,FALSE,1
1,17,"Ken",400,FALSE,1
1,18,"J.D.",600,FALSE,1
1,19,"Betsey",-800,FALSE,1
1,19,"J.D.",800,FALSE,1
1,21,"Ken",200,FALSE,1
1,22,"Ken",400,FALSE,1
1,23,"Ken",4000,TRUE,1
1,25,"Ken",1000,FALSE,1
1,26,"J.D.",200,FALSE,1
1,27,"Ken",400,FALSE,1
1,28,"Ken",600,FALSE,1
1,29,"Ken",800,FALSE,1
1,30,"Ken",1000,FALSE,1
2,31,"Ken",400,FALSE,1
2,32,"Ken",800,FALSE,1
2,32,"J.D.",-800,FALSE,1
2,33,"Ken",-5000,TRUE,1
2,34,"Ken",1600,FALSE,1
2,35,"Ken",2000,FALSE,1
2,36,"Ken",400,FALSE,1
2,37,"Ken",800,FALSE,1
2,38,"J.D.",1200,FALSE,1
2,39,"Ken",-1600,FALSE,1
2,40,"Ken",2000,FALSE,1
2,41,"Ken",400,FALSE,1
2,42,"Ken",800,FALSE,1
2,43,"Ken",1200,FALSE,1
2,44,"Ken",1600,FALSE,1
2,45,"Betsey",2000,FALSE,1
2,46,"Ken",400,FALSE,1
2,47,"Ken",800,FALSE,1
2,48,"Betsey",1200,FALSE,1
2,49,"Ken",1600,FALSE,1
2,50,"Ken",2000,FALSE,1
2,51,"J.D.",400,FALSE,1
2,52,"Ken",400,FALSE,1
2,53,"Betsey",-800,FALSE,1
2,54,"J.D.",-1200,FALSE,1
2,57,"Ken",800,FALSE,1
2,58,"Ken",4800,TRUE,1
2,59,"Ken",1600,FALSE,1
2,60,"J.D.",2000,FALSE,1
3,61,"Ken",-21599,FALSE,1
3,61,"Betsey",-1801,FALSE,1
3,61,"J.D.",-1401,FALSE,1
1,1,"Ken",200,FALSE,2
1,3,"Bob",600,FALSE,2
1,4,"Ken",200,FALSE,2
1,5,"Ken",400,FALSE,2
1,6,"Ken",600,FALSE,2
1,6,"Bob",-600,FALSE,2
1,7,"Ken",800,FALSE,2
1,8,"Rich",1000,FALSE,2
1,9,"Ken",-800,FALSE,2
1,10,"Bob",1000,FALSE,2
1,11,"Rich",-200,FALSE,2
1,12,"Ken",400,FALSE,2
1,13,"Rich",-600,FALSE,2
1,14,"Ken",800,FALSE,2
1,15,"Ken",1000,FALSE,2
1,16,"Rich",-200,FALSE,2
1,17,"Ken",400,FALSE,2
1,18,"Ken",600,FALSE,2
1,18,"Bob",-600,FALSE,2
1,19,"Ken",800,FALSE,2
1,20,"Rich",1000,FALSE,2
1,21,"Bob",200,FALSE,2
1,22,"Ken",400,FALSE,2
1,23,"Ken",600,FALSE,2
1,24,"Ken",-800,FALSE,2
1,24,"Rich",800,FALSE,2
1,25,"Bob",1000,FALSE,2
1,26,"Ken",200,FALSE,2
1,27,"Bob",600,FALSE,2
1,28,"Rich",400,FALSE,2
1,29,"Rich",800,FALSE,2
1,30,"Rich",3000,TRUE,2
2,31,"Rich",400,FALSE,2
2,32,"Bob",800,FALSE,2
2,33,"Ken",1200,FALSE,2
2,34,"Ken",1600,FALSE,2
2,34,"Bob",-1600,FALSE,2
2,35,"Ken",2000,FALSE,2
2,36,"Ken",400,FALSE,2
2,37,"Ken",800,FALSE,2
2,38,"Bob",1200,FALSE,2
2,39,"Bob",400,FALSE,2
2,40,"Rich",800,FALSE,2
2,41,"Ken",1200,FALSE,2
2,42,"Bob",1600,FALSE,2
2,43,"Bob",1600,FALSE,2
2,44,"Bob",-2000,FALSE,2
2,45,"Bob",4200,TRUE,2
