"round","i","name","score","double","uid"
1,1,"Doris",100,FALSE,6001
1,2,"Harvey",100,FALSE,6001
1,2,"Doris",100,FALSE,6001
1,3,"Doris",200,FALSE,6001
1,4,"Mike",300,FALSE,6001
1,5,"Mike",-200,FALSE,6001
1,6,"Doris",500,FALSE,6001
1,7,"Mike",-100,FALSE,6001
1,8,"Mike",200,FALSE,6001
1,9,"Harvey",100,FALSE,6001
1,10,"Doris",200,FALSE,6001
1,11,"Mike",100,FALSE,6001
1,12,"Mike",500,TRUE,6001
1,13,"Harvey",500,FALSE,6001
1,14,"Doris",300,FALSE,6001
1,15,"Mike",400,FALSE,6001
1,16,"Mike",500,FALSE,6001
1,17,"Harvey",200,FALSE,6001
1,18,"Harvey",100,FALSE,6001
1,19,"Mike",200,FALSE,6001
1,20,"Harvey",300,FALSE,6001
1,21,"Mike",100,FALSE,6001
1,22,"Mike",400,FALSE,6001
1,23,"Doris",500,FALSE,6001
1,24,"Doris",300,FALSE,6001
1,25,"Mike",400,FALSE,6001
1,26,"Mike",-500,FALSE,6001
1,26,"Harvey",500,FALSE,6001
1,26,"Doris",-500,FALSE,6001
1,27,"Harvey",200,FALSE,6001
1,28,"Mike",300,FALSE,6001
1,29,"Harvey",400,FALSE,6001
1,30,"Harvey",500,FALSE,6001
2,31,"Mike",200,FALSE,6001
2,32,"Mike",200,FALSE,6001
2,33,"Doris",400,FALSE,6001
2,34,"Doris",400,FALSE,6001
2,35,"Mike",600,FALSE,6001
2,36,"Mike",800,FALSE,6001
2,37,"Doris",1000,FALSE,6001
2,38,"Doris",600,FALSE,6001
2,39,"Doris",800,FALSE,6001
2,40,"Doris",1000,FALSE,6001
2,41,"Harvey",200,FALSE,6001
2,42,"Mike",400,FALSE,6001
2,43,"Mike",600,FALSE,6001
2,44,"Harvey",800,FALSE,6001
2,45,"Harvey",1500,TRUE,6001
2,46,"Mike",200,FALSE,6001
2,47,"Harvey",400,FALSE,6001
2,48,"Harvey",600,FALSE,6001
2,49,"Doris",800,FALSE,6001
2,50,"Mike",1000,FALSE,6001
2,50,"Harvey",-1000,FALSE,6001
2,51,"Doris",600,FALSE,6001
2,52,"Doris",200,FALSE,6001
2,53,"Doris",400,FALSE,6001
2,54,"Doris",800,FALSE,6001
2,55,"Mike",1000,FALSE,6001
2,56,"Mike",400,FALSE,6001
2,57,"Mike",2000,TRUE,6001
2,58,"Mike",800,FALSE,6001
2,59,"Mike",1000,FALSE,6001
2,60,"Mike",200,FALSE,6001
3,61,"Mike",5500,FALSE,6001
3,61,"Harvey",-5300,FALSE,6001
