"name","final","coryat","right","wrong","uid"
"Ken",10001,29600,38,3,1
"Betsey",1399,3200,4,2,1
"J.D.",3599,5000,10,2,1
"Ken",21800,25800,31,3,2
"Bob",0,7400,12,4,2
"Rich",19201,8800,13,1,2
"Ken",27200,26400,40,5,3
"Adam",8800,8800,9,0,3
"Laura",200,4200,4,1,3
"Ken",21800,33400,42,5,4
"Amy",5200,5200,6,1,4
"Todd",8399,9400,9,0,4
"Ken",30000,28600,34,3,5
"Kollin",1,2600,3,1,5
"Bill",6000,6000,17,4,5
"Ken",45000,32200,41,2,6
"Dana",3999,2000,4,2,6
"Bruce",-4800,-1800,10,5,6
"Ken",40000,26800,39,4,7
"Kate",3500,4800,7,3,7
"Robert",2799,1400,6,2,7
"Ken",37600,37000,41,2,8
"Cara",0,3200,3,2,8
"David",5000,6400,9,1,8
"Ken",30000,20400,31,6,9
"John",10601,5200,10,3,9
"Elaine",300,5800,10,3,9
"Ken",50000,35800,41,4,10
"Marilyn",1800,1000,3,2,10
"Greg",3199,2600,5,2,10
"Arthur",16200,18200,24,1,11
"Sam",0,2200,8,5,11
"Keith",3500,7200,10,5,11
"Tom",12401,13600,21,4,12
"Seth",10600,9400,12,3,12
"Steve",10900,6200,10,1,12
"John",599,5600,12,5,13
"Renzo",2000,14000,17,2,13
"Vinita",10200,10800,16,3,13
"Chris",4000,5200,16,7,14
"Tom",20100,21000,23,3,14
"Russ",12400,6400,7,2,14
"Sean",2600,5800,20,6,15
"Anne",7599,11000,14,3,15
"Jim",2400,2400,4,1,15
"Russ",11799,12800,19,1,16
"Seth",6800,3400,9,4,16
"Vinita",3799,12400,14,2,16
"Tom",14701,11800,13,2,17
"Anne",14700,15400,16,1,17
"Chris",2999,17200,25,3,17
"Tom",0,11200,20,6,18
"Arthur",31400,16400,22,1,18
"Steve",7600,7600,10,1,18
"Arthur",0,8200,16,5,19
"Tom",19700,16800,20,1,19
"Russ",9600,13200,14,4,19
"Ken",29601,17600,26,6,21
"Jeff",9900,15800,20,2,21
"Beth",-800,-800,3,2,21
"Ken",35038,28800,34,4,22
"Pat",13500,9000,12,1,22
"Jay",1,2200,7,2,22
"Ken",38400,32600,41,2,23
"Kathryn",6799,3400,4,1,23
"Bill",2220,4600,8,1,23
"Ken",40000,27800,36,3,24
"Steve",7199,9000,11,2,24
"Jennifer",3000,7000,9,0,24
"Ken",30000,36400,42,6,25
"Aimee",5300,5400,8,1,25
"Al",5200,2600,4,1,25
"Ken",35000,26000,34,3,26
"Sunny",4400,3000,4,2,26
"Tristan",4801,6000,13,3,26
"Ken",35000,27200,35,5,27
"Matt",8100,4600,9,3,27
"Marcy",400,1400,6,3,27
"Ken",28300,23600,34,5,28
"Marielle",3000,11600,14,2,28
"Larry",2400,1200,6,3,28
"Ken",29900,22400,35,5,29
"Graham",399,6800,8,1,29
"K.C.",0,5800,8,1,29
"Ken",40000,29400,36,4,30
"Josh",4800,5200,12,4,30
"José",100,4600,6,2,30
"Megan",19800,17800,23,0,31
"Tim",0,4400,13,6,31
"Kelly",9600,8800,12,4,31
"Jake",3600,9600,16,3,32
"Nithya",9000,14400,17,3,32
"Emily",14800,15000,19,0,32
"Josh",9000,13200,20,2,33
"Grace",200,5200,9,3,33
"Tamika",11000,15000,16,3,33
"Lorna",2200,2600,9,1,34
"Edward",17200,23200,25,2,34
"Alex",5201,8400,10,1,34
"Ross",12000,8400,15,2,35
"Theodora",-2000,-1000,8,7,35
"Patrick",3500,2000,10,5,35
"Ken",30000,27800,33,2,36
"Jennifer",600,5600,7,2,36
"Nathan",11201,10200,15,1,36
"Ken",25000,17400,25,5,37
"Jeff",5500,10800,14,3,37
"Mary",-2400,-1400,5,5,37
"Ken",34001,22200,32,4,38
"Adam",24401,17000,17,1,38
"Merritt",0,8400,10,1,38
"Ken",30000,21200,32,5,39
"Lori",4200,10800,13,1,39
"Bob",3599,1800,7,5,39
"Ken",30000,26600,35,4,40
"Brian",5300,7000,10,0,40
"Sandy",5100,9600,10,1,40
"Ken",26600,29600,36,3,41
"Ben",1999,7600,10,1,41
"Lisa",13100,6600,10,1,41
"Ken",45099,31800,37,1,42
"Denise",6001,3800,4,0,42
"Rob",2999,6800,13,2,42
"Ken",50000,27200,36,2,43
"Jerry",1,9800,15,5,43
"Jennifer",-2200,-2200,2,2,43
"Ken",25600,36000,41,2,44
"John",100,2200,4,0,44
"Elizabeth",5100,4800,9,2,44
"Ken",33201,26600,31,2,45
"Ryan",29100,16600,21,2,45
"Leo",1,200,4,2,45
"Ken",19200,28400,36,4,46
"Robert",1,1200,7,3,46
"Jennifer",1300,1800,5,1,46
"Ken",30000,24400,28,4,47
"Jeff",22800,9200,12,1,47
"Dave",6800,13400,16,1,47
"Kermin",31542,30400,32,2,48
"Amory",11000,8600,14,3,48
"Casey",14000,7000,11,1,48
"Amanda",0,5200,14,5,49
"Jeff",7500,10800,21,4,49
"Vicky",9400,12200,15,2,49
"Larry",10000,5000,9,2,50
"Kelley",13203,13200,27,4,50
"Matt",0,5400,12,6,50
"Lily",30000,27600,30,1,51
"Ari",13600,6800,10,1,51
"Lindsey",11200,8200,11,2,51
"Rachel",22100,16800,26,3,52
"Brad",0,5400,8,1,52
"Chris",400,8200,16,6,52
"Casey",15933,12000,23,7,53
"Ari",21601,15800,17,3,53
"Vicky",0,7600,11,1,53
"Lily",21201,10400,17,4,54
"Rachel",23600,16400,25,2,54
"Amory",21200,10600,12,2,54
"Kermin",29241,27400,30,1,55
"Kelley",15600,7800,14,2,55
"Lindsey",2,8600,12,2,55
"Kermin",13800,15800,25,3,56
"Rachel",2000,5800,14,4,56
"Ari",2600,8800,10,1,56
"Ken",55099,36200,43,2,58
"Lisa",1400,1400,4,1,58
"Dan",1900,2600,7,1,58
"Ken",50000,29400,38,2,59
"Philip",200,2600,4,1,59
"Whitney",3000,9400,11,2,59
"Ken",31600,31600,38,3,60
"Andrew",6007,4800,10,3,60
"Sanda",1981,2000,9,3,60
"Ken",29000,22600,27,1,61
"Rob",900,14600,24,7,61
"Kathi",0,400,1,2,61
"Ken",8799,22400,29,4,62
"Nancy",14401,10000,10,1,62
"David",-2800,-2800,7,5,62
"Nancy",2,7400,13,4,63
"Nathan",199,7200,15,7,63
"Katie",13400,14200,17,1,63
"Katie",16801,16000,21,1,64
"Sherri",1,10600,15,6,64
"Josh",400,8000,16,4,64
"Katie",0,3800,13,5,65
"Pete",16200,13200,18,2,65
"Kord",-800,-1200,13,12,65
"Pete",100,9000,14,3,66
"Dennis",25000,12600,19,3,66
"Andy",21199,20200,26,4,66
"Dennis",600,8800,10,4,67
"Jackie",8700,8600,19,3,67
"Shelley",8601,8200,16,6,67
"Jackie",0,1400,8,5,68
"Alex",12800,12600,20,3,68
"Megan",19599,16400,19,1,68
"Megan",0,19600,19,0,69
"Karen",4950,4000,4,1,69
"Tom",40600,18400,32,3,69
"Tom",2800,16800,30,5,70
"Robert",6399,16000,17,3,70
"Colette",400,1400,4,3,70
"Robert",27000,21000,29,2,71
"Snow",3000,7600,12,4,71
"David",3999,8400,14,4,71
"Robert",0,19200,23,2,72
"Joel",19000,14200,18,0,72
"Jerry",1,6600,9,3,72
"Joel",15200,15800,21,3,73
"Ethan",2,8200,13,4,73
"Maureen",600,5600,12,1,73
"Joel",22600,14400,16,2,74
"Grayson",29201,16600,17,3,74
"Cliff",24600,12600,22,1,74
"Grayson",15210,12400,20,10,75
"Jennifer",800,7600,14,1,75
"Harry",600,7800,13,4,75
"Grayson",2500,15000,18,5,76
"Michael",0,10200,12,2,76
"Lyle",8800,13200,23,3,76
"Lyle",9600,16800,26,3,77
"Dale",10350,4800,9,3,77
"Emily",5600,4800,11,2,77
"Dale",5200,2600,9,2,78
"Hugh",10000,19800,28,3,78
"David",5700,17800,17,3,78
"Janine",12400,6900,18,2,79
"Elaine",1,4800,11,0,79
"Andrew",5000,8000,23,2,79
"Janine",8300,5200,16,2,80
"Brent",8500,7100,24,4,80
"Nancy",400,400,3,1,80
"Dave",8402,8000,22,3,81
"John",1599,800,9,7,81
"Eric",8401,5200,13,1,81
"Hugh",3999,15000,18,2,82
"Aaron",20000,19600,27,3,82
"Jessica",5599,2800,6,2,82
"Richard",9900,7600,21,2,83
"Frank",4900,5100,15,3,83
"Michael",8600,7900,17,1,83
"Bob",9400,6800,20,4,84
"Keith",3500,6800,16,0,84
"Zeke",6000,5400,17,2,84
"Eugene",3900,5900,16,3,85
