"name","final","coryat","right","wrong","uid"
"Mike",17500,10500,26,2,6001
"Harvey",100,4900,14,2,6001
"Doris",6599,8700,19,1,6001
"Steve",5799,7400,19,2,6002
"Dennis",1,600,13,5,6002
"Barbara",100,4100,17,3,6002
"Ian",0,12800,15,2,6003
"Leslie",599,12600,18,2,6003
"Tommy",1,11200,19,3,6003
"Michelle",1,6000,11,3,6004
"Mirza",28200,21200,27,3,6004
"Andy",-2600,400,7,7,6004
"Mirza",25000,14600,21,5,6005
"David",31600,15600,17,2,6005
"John",300,8600,15,2,6005
"Richard",15000,12400,28,3,6006
"Bob",7400,4400,14,3,6006
"Kathrine",999,3500,13,1,6006
"David",15198,7200,19,7,6007
"Tracey",11600,13600,16,1,6007
"Catherine",23201,16000,18,1,6007
"Stuart",9599,2900,11,6,6008
"John",12400,8500,28,1,6008
"Elizabeth",9801,6200,15,2,6008
"Catherine",23201,15600,17,0,6009
"Rebecca",18801,11600,21,1,6009
"Jason",7000,10000,12,4,6009
"John",8001,4100,17,6,6010
"Jean",6200,3200,12,4,6010
"Willie",1800,4000,15,2,6010
"Bob",9900,7300,21,6,6011
"Maureen",-400,-400,7,6,6011
"Tony",2900,5100,15,1,6011
"Harriet",11599,6100,11,0,6012
"Kathryn",600,6600,11,0,6012
"Dennis",5,4200,11,0,6012
"Catherine",13600,11400,14,0,6013
"Diana",24001,16600,21,2,6013
"Nick",10000,12000,17,7,6013
"Diana",20600,21000,24,3,6014
"Adam",1,8600,19,3,6014
"Katherine",4399,10800,12,1,6014
"Diana",5599,17600,21,4,6015
"Deirdre",16399,19800,20,1,6015
"Jon",1,5600,13,3,6015
"Tom",9601,6600,24,5,6016
"Sharon",-600,1000,8,4,6016
"Matt",9600,4800,13,1,6016
"Deirdre",16801,12400,14,1,6017
"Sara",10400,13400,22,6,6017
"Erik",14400,8400,12,1,6017
"Mike",12200,9900,27,2,6018
"Steve",300,4000,9,5,6018
"Dennis",0,3400,14,4,6018
"Deirdre",1,10000,15,2,6019
"Jessica",1700,9600,12,5,6019
"Ali",20401,15800,22,6,6019
"Steve",0,6300,20,3,6020
"Linda",12601,7000,12,2,6020
"Tom",10400,5000,14,2,6020
"Bob",13398,6600,19,3,6021
"Mary",1999,7700,15,0,6021
"Lorne",10100,4900,16,3,6021
"Anne",6800,3400,16,6,6022
"Meg",6900,6000,17,2,6022
"Bill",0,1600,9,5,6022
"Ali",26401,15000,20,3,6023
"Lindsay",1200,6400,11,2,6023
"Tyler",13200,13200,16,0,6023
"Ali",20999,18800,26,3,6024
"Justin",800,8800,15,2,6024
"Deb",2,11200,12,0,6024
"Ali",11601,9400,21,6,6025
"Jordan",15800,6200,17,4,6025
"Amanda",5599,11600,12,1,6025
"Stephen",1898,5800,14,3,6026
"Jimmie",1700,1900,6,4,6026
"Steve",10000,9900,28,3,6026
"Jordan",6799,13400,20,4,6027
"Ben",2,7800,15,4,6027
"Kelly",16200,6600,11,1,6027
"Linda",0,4800,10,4,6028
"Les",2100,1100,11,5,6028
"Neil",12100,10700,19,1,6028
"Kelly",1000,18000,19,0,6029
"Jeff",2,12400,20,2,6029
"Andrew",1198,8600,14,6,6029
"Neil",13201,11400,23,0,6030
"Barbara",0,1500,8,2,6030
"Pierre",11700,6400,18,4,6030
"Matt",0,7800,24,4,6031
"Karen",100,4600,15,2,6031
"Lane",899,7500,16,4,6031
"Bill",12700,11900,31,3,6032
"Frank",5600,5700,12,2,6032
"Eitan",9500,5500,13,2,6032
"Andrew",26000,13000,15,2,6033
"Amy",15801,8600,12,1,6033
"Scott",26001,18400,24,2,6033
"Scott",33601,15800,21,2,6034
"Frank",12000,11400,14,1,6034
"Kat",2001,15800,19,2,6034
"Scott",18799,20600,20,2,6035
"Ruth",200,13600,19,2,6035
"Nick",3600,5600,11,2,6035
"Scott",16201,8800,16,5,6036
"Adam",11995,6000,11,3,6036
"Suzanne",24401,14800,18,3,6036
"Suzanne",10399,15000,14,1,6037
"Jim",7999,16600,18,1,6037
"Dave",8207,12800,21,4,6037
"Jack",100,3200,8,2,6038
"Scott",15400,8700,24,5,6038
